table_name,column_name,data_type,is_nullable,column_default,constraint_type
business_metrics,id,text,NO,,PRIMARY KEY
business_metrics,user_id,text,NO,,FOREIGN KEY
business_metrics,date,date,NO,,
business_metrics,total_calls,integer,YES,0,
business_metrics,missed_calls,integer,YES,0,
business_metrics,answered_calls,integer,YES,0,
business_metrics,sms_sent,integer,YES,0,
business_metrics,conversations_started,integer,YES,0,
business_metrics,created_at,timestamp without time zone,YES,CURRENT_TIMESTAMP,
case_assignments,id,text,NO,,PRIMARY KEY
case_assignments,case_id,text,NO,,FOREIGN KEY
case_assignments,provider_id,text,NO,,FOREIGN KEY
case_assignments,status,text,YES,'offered'::text,
case_assignments,offered_at,timestamp without time zone,YES,CURRENT_TIMESTAMP,
case_assignments,responded_at,timestamp without time zone,YES,,
case_assignments,expires_at,timestamp without time zone,YES,,
case_income,id,text,NO,,PRIMARY KEY
case_income,case_id,text,NO,,FOREIGN KEY
case_income,provider_id,text,NO,,FOREIGN KEY
case_income,customer_id,text,YES,,FOREIGN KEY
case_income,amount,numeric,NO,,
case_income,currency,text,YES,'BGN'::text,
case_income,payment_method,text,YES,,
case_income,notes,text,YES,,
case_income,recorded_at,timestamp without time zone,YES,CURRENT_TIMESTAMP,
case_income,created_at,timestamp without time zone,YES,CURRENT_TIMESTAMP,
case_income,updated_at,timestamp without time zone,YES,CURRENT_TIMESTAMP,
case_queue,id,text,NO,,PRIMARY KEY
case_queue,case_id,text,NO,,FOREIGN KEY
case_queue,original_provider_id,text,NO,,FOREIGN KEY
case_queue,queue_position,integer,YES,,
case_queue,available_to_all,boolean,YES,true,
case_queue,created_at,timestamp without time zone,YES,CURRENT_TIMESTAMP,
case_reviews,id,text,NO,,PRIMARY KEY
case_reviews,case_id,text,NO,,UNIQUE
case_reviews,case_id,text,NO,,FOREIGN KEY
case_reviews,customer_id,text,NO,,FOREIGN KEY
case_reviews,customer_id,text,NO,,UNIQUE
case_reviews,provider_id,text,NO,,UNIQUE
case_reviews,provider_id,text,NO,,FOREIGN KEY
case_reviews,rating,integer,NO,,
case_reviews,comment,text,YES,,
case_reviews,service_quality,integer,YES,,
case_reviews,communication,integer,YES,,
case_reviews,timeliness,integer,YES,,
case_reviews,value_for_money,integer,YES,,
case_reviews,would_recommend,integer,YES,1,
case_reviews,created_at,timestamp without time zone,YES,CURRENT_TIMESTAMP,
case_reviews,updated_at,timestamp without time zone,YES,CURRENT_TIMESTAMP,
case_screenshots,id,text,NO,,PRIMARY KEY
case_screenshots,case_id,text,NO,,FOREIGN KEY
case_screenshots,image_url,text,NO,,
case_screenshots,created_at,timestamp without time zone,YES,CURRENT_TIMESTAMP,
case_templates,id,text,NO,,PRIMARY KEY
case_templates,service_category,text,NO,,
case_templates,template_name,text,NO,,
case_templates,template_data,text,NO,,
case_templates,is_active,boolean,YES,true,
case_templates,created_at,timestamp without time zone,YES,CURRENT_TIMESTAMP,
case_templates,updated_at,timestamp without time zone,YES,CURRENT_TIMESTAMP,
chat_sessions,session_id,text,NO,,PRIMARY KEY
chat_sessions,conversation_id,text,NO,,
chat_sessions,user_id,text,NO,,FOREIGN KEY
chat_sessions,sp_identifier,text,NO,,
chat_sessions,created_at,timestamp without time zone,YES,CURRENT_TIMESTAMP,
chat_sessions,last_accessed_at,timestamp without time zone,YES,CURRENT_TIMESTAMP,
chat_tokens,id,text,NO,,PRIMARY KEY
chat_tokens,token,text,NO,,UNIQUE
chat_tokens,user_id,text,NO,,FOREIGN KEY
chat_tokens,sp_identifier,text,NO,,
chat_tokens,is_used,boolean,YES,false,
chat_tokens,used_at,timestamp without time zone,YES,,
chat_tokens,created_at,timestamp without time zone,YES,CURRENT_TIMESTAMP,
chat_tokens,expires_at,timestamp without time zone,NO,,
chat_tokens,conversation_id,text,YES,,
gdpr_consents,id,text,NO,,PRIMARY KEY
gdpr_consents,user_id,text,NO,,FOREIGN KEY
gdpr_consents,consent_type,text,NO,,
gdpr_consents,granted,boolean,NO,,
gdpr_consents,timestamp,timestamp without time zone,YES,CURRENT_TIMESTAMP,
gdpr_consents,ip_address,text,YES,,
gdpr_consents,user_agent,text,YES,,
gdpr_consents,withdrawn_at,timestamp without time zone,YES,,
gdpr_consents,legal_basis,text,YES,,
marketplace_case_declines,id,text,NO,(gen_random_uuid())::text,PRIMARY KEY
marketplace_case_declines,case_id,text,NO,,UNIQUE
marketplace_case_declines,case_id,text,NO,,FOREIGN KEY
marketplace_case_declines,provider_id,text,NO,,UNIQUE
marketplace_case_declines,provider_id,text,NO,,FOREIGN KEY
marketplace_case_declines,reason,text,YES,,
marketplace_case_declines,created_at,timestamp without time zone,YES,CURRENT_TIMESTAMP,
marketplace_chat_attachments,id,text,NO,,PRIMARY KEY
marketplace_chat_attachments,message_id,text,NO,,FOREIGN KEY
